Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
Thomas Street,,Dublin 8,Ireland,"Thomas Street, Dublin 8, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Meath Street,,Dublin 8,Ireland,"Meath Street, Dublin 8, Ireland",Retail,,Single,"Russell Brennan Keane
Corporate Recovery",www.rbk.ie
Merchant's Quay,,Dublin 8,Ireland,"Merchant's Quay, Dublin 8, Ireland",Office,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
The Waterfront,Drumcondra,Dublin 9,Ireland,"The Waterfront, Drumcondra, Dublin 9, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Whitworth Road,Drumcondra,Dublin 9,Ireland,"Whitworth Road, Drumcondra, Dublin 9, Ireland",Residential,,Single,Ferris & Associates,N/A
Botanic Road,Glasnevin,Dublin 9,Ireland,"Botanic Road, Glasnevin, Dublin 9, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Certain Houses at
Botanic Road",Glasnevin,Dublin 9,Ireland,"Certain Houses at
Botanic Road, Glasnevin, Dublin 9, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
Charlemont,Griffith Avenue,Dublin 9,Ireland,"Charlemont, Griffith Avenue, Dublin 9, Ireland",Residential,,Single,Ferris & Associates,N/A
Heywood,Santry,Dublin 9,Ireland,"Heywood, Santry, Dublin 9, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
Northwood Court,Santry,Dublin 9,Ireland,"Northwood Court, Santry, Dublin 9, Ireland",Office,,Multiple,Mazars,www.mazars.ie
Northwood House,Santry,Dublin 9,Ireland,"Northwood House, Santry, Dublin 9, Ireland",Office,,Multiple,Mazars,www.mazars.ie
Northwood,Santry,Dublin 9,Ireland,"Northwood, Santry, Dublin 9, Ireland",Development - Not Commenced,,,Mazars,www.mazars.ie
Temple Court,Santry,Dublin 9,Ireland,"Temple Court, Santry, Dublin 9, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
Northwood Avenue,Santry,Dublin 9,Ireland,"Northwood Avenue, Santry, Dublin 9, Ireland",Office,,Multiple,Mazars,www.mazars.ie
Woodford Court,Santry,Dublin 9,Ireland,"Woodford Court, Santry, Dublin 9, Ireland",Office,,Multiple,Mazars,www.mazars.ie
Square D,Ballinasloe,Galway,Ireland,"Square D, Ballinasloe, Galway, Ireland",Industrial,,Single,BDO,www.bdo.ie
"Ballybrit Business
Park",Ballybrit,Galway,Ireland,"Ballybrit Business
Park, Ballybrit, Galway, Ireland",Office,,Single,KPMG,www.kpmg.ie
"Tir na
gCapall",Ballybrit,Galway,Ireland,"Tir na
gCapall, Ballybrit, Galway, Ireland",Other,"S.50 student
accommodation",Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
The Meadows,Ballybritt,Galway,Ireland,"The Meadows, Ballybritt, Galway, Ireland",Residential,,Single,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Cloonee,Ballymoe,Galway,Ireland,"Cloonee, Ballymoe, Galway, Ireland",Agricultural Land,,,KPMG,www.kpmg.ie
"Croughwell Town
Centre",Croughwell,Galway,Ireland,"Croughwell Town
Centre, Croughwell, Galway, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
"Doughiska
Apartments",Doughiska,Galway,Ireland,"Doughiska
Apartments, Doughiska, Galway, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
"Certain Assets of
Merlin Park",Dublin Road,Galway,Ireland,"Certain Assets of
Merlin Park, Dublin Road, Galway, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Frenchville Lane,Eyre Square,Galway,Ireland,"Frenchville Lane, Eyre Square, Galway, Ireland",Other,Hostel,Single,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Cul na Coirre, Church
Road",Headford,Galway,Ireland,"Cul na Coirre, Church
Road, Headford, Galway, Ireland",Development - Commenced,,,KPMG,www.kpmg.ie
Barna Road,Knocknacarra,Galway,Ireland,"Barna Road, Knocknacarra, Galway, Ireland",Development - Not Commenced,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Snipe
Avenue",Newcastle,Galway,Ireland,"Snipe
Avenue, Newcastle, Galway, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
Abhainn na mBradan,Newtownsmith,Galway,Ireland,"Abhainn na mBradan, Newtownsmith, Galway, Ireland",Mixed Use,,Multiple,BDO,www.bdo.ie
Arrabawn Centre,Oranmore,Galway,Ireland,"Arrabawn Centre, Oranmore, Galway, Ireland",Mixed Use,,Multiple,BDO,www.bdo.ie
Bramley,Oranmore,Galway,Ireland,"Bramley, Oranmore, Galway, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Bramley,Oranmore,Galway,Ireland,"Bramley, Oranmore, Galway, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Moyvilla,Oranmore,Galway,Ireland,"Moyvilla, Oranmore, Galway, Ireland",Agricultural Land,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Bun
Caise",Rahoon,Galway,Ireland,"Bun
Caise, Rahoon, Galway, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
Arus Bun Caise,Rahoon,Galway,Ireland,"Arus Bun Caise, Rahoon, Galway, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
Caher,Recess,Galway,Ireland,"Caher, Recess, Galway, Ireland",Residential,,Single,KPMG,www.kpmg.ie
An Tulan Cleasach,Spiddal,Galway,Ireland,"An Tulan Cleasach, Spiddal, Galway, Ireland",Residential,,Single,BDO Ireland,www.bdo.ie
Country Meadows,Tuam,Galway,Ireland,"Country Meadows, Tuam, Galway, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
"Cuirt na Cora, Weir
Road",Tuam,Galway,Ireland,"Cuirt na Cora, Weir
Road, Tuam, Galway, Ireland",Development - Commenced,,,KPMG,www.kpmg.ie
Cloontooa,Tuam,Galway,Ireland,"Cloontooa, Tuam, Galway, Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
Merlin Park,,Galway,Ireland,"Merlin Park, Galway, Ireland",Residential,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Furbo,,Galway,Ireland,"Furbo, Galway, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
Lower Salthill,,Galway,Ireland,"Lower Salthill, Galway, Ireland",Public House,,Single,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Lower Salthill,,Galway,Ireland,"Lower Salthill, Galway, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Cloonboo,,Galway,Ireland,"Cloonboo, Galway, Ireland",Office,,Multiple,KPMG,www.kpmg.ie
Kenmare,,Kerry,Ireland,"Kenmare, Kerry, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Oceanview,Ballyheigue,Kerry,Ireland,"Oceanview, Ballyheigue, Kerry, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com/ie
Main Street,Ballyheigue,Kerry,Ireland,"Main Street, Ballyheigue, Kerry, Ireland",Other,Derelict Garage Site,Single,Ernst & Young,www.ey.com/ie
Tomies Close,Beaufort,Kerry,Ireland,"Tomies Close, Beaufort, Kerry, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Ballycarahan,Caherdaniel,Kerry,Ireland,"Ballycarahan, Caherdaniel, Kerry, Ireland",Residential,,Single,Ernst & Young,www.ey.com
"Cois
Chnoic",Dingle,Kerry,Ireland,"Cois
Chnoic, Dingle, Kerry, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com/Home
Murreagh,Dingle,Kerry,Ireland,"Murreagh, Dingle, Kerry, Ireland",Residential,,Single,KPMG,www.kpmg.ie
"New
Street",Killarney,Kerry,Ireland,"New Street, Killarney, Kerry, Ireland",Mixed Use,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Ballygologue road,Listowel,Kerry,Ireland,"Ballygologue road, Listowel, Kerry, Ireland",Development - Not Commenced,,,Ernst & Young,www.ey.com/ie
"John Joe Sheehy
Road",Tralee,Kerry,Ireland,"John Joe Sheehy
Road, Tralee, Kerry, Ireland",Development - Not Commenced,,,Ernst & Young,www.ey.com
Manor West,Tralee,Kerry,Ireland,"Manor West, Tralee, Kerry, Ireland",Retail,,Multiple,Ernst & Young,www.ey.com/Home
Abbeydorney,,Kerry,Ireland,"Abbeydorney, Kerry, Ireland",Public House,,Single,Grant Thornton,www.grantthornton.ie
Lixnaw,,Kerry,Ireland,"Lixnaw, Kerry, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
Lixnaw,,Kerry,Ireland,"Lixnaw, Kerry, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Firies,,Kerry,Ireland,"Firies, Kerry, Ireland",Development - Commenced,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Beaufort,,Kerry,Ireland,"Beaufort, Kerry, Ireland",Development - Not Commenced,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Rathmore,,Kerry,Ireland,"Rathmore, Kerry, Ireland",Agricultural Land,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Ballyferriter,,Kerry,Ireland,"Ballyferriter, Kerry, Ireland",Development - Not Commenced,,,PricewaterhouseCoopers,www.pwc.com/ie
The Maltings,Athy,Kildare,Ireland,"The Maltings, Athy, Kildare, Ireland",Residential,,Multiple,Ferris & Associates,N/A
"The Hall, Yew Tree
Square",Clane,Kildare,Ireland,"The Hall, Yew Tree
Square, Clane, Kildare, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
"The Manor, Yew Tree
Square",Clane,Kildare,Ireland,"The Manor, Yew Tree
Square, Clane, Kildare, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
Yew Tree Square,Clane,Kildare,Ireland,"Yew Tree Square, Clane, Kildare, Ireland",Retail,,Multiple,Mazars,www.mazars.ie
"Palmerstown House
Estate","Johnstown, Naas",Kildare,Ireland,"Palmerstown House
Estate, Johnstown, Naas, Kildare, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
"The
Paddocks",Kildangan,Kildare,Ireland,"The
Paddocks, Kildangan, Kildare, Ireland",Residential,,Multiple,Ferris & Associates,N/A
Weston Airport,Leixlip,Kildare,Ireland,"Weston Airport, Leixlip, Kildare, Ireland",Other,Airport,Multiple,KPMG,www.kpmg.ie
"Glenroyal Hotel &
Leisure Centre",Maynooth,Kildare,Ireland,"Glenroyal Hotel &
Leisure Centre, Maynooth, Kildare, Ireland",Hotel property,,Single,Grant Thornton,www.grantthornton.ie
"Certain Blocks at
Maynooth Business
Campus",Maynooth,Kildare,Ireland,"Certain Blocks at
Maynooth Business
Campus, Maynooth, Kildare, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Newtown,Maynooth,Kildare,Ireland,"Newtown, Maynooth, Kildare, Ireland",Agricultural Land,,,PwC,www.pwc.com/ie
"Moyvalley Hotel &
Golf Club",Moyvalley,Kildare,Ireland,"Moyvalley Hotel &
Golf Club, Moyvalley, Kildare, Ireland",Other,Hotel and Golf Club,Multiple,KPMG,www.kpmg.ie
Abbey Street,Naas,Kildare,Ireland,"Abbey Street, Naas, Kildare, Ireland",Retail,,Single,McStay Luby,N/A
"Craddockstown
Court",Naas,Kildare,Ireland,"Craddockstown
Court, Naas, Kildare, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
Glanerought,Kenmare,Kerry,Ireland,"Glanerought, Kenmare, Kerry, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com
Walshestown,Newbridge,Kildare,Ireland,"Walshestown, Newbridge, Kildare, Ireland",Development - Not Commenced,,,Mazars,www.mazars.ie
Capella Court,Newbridge,Kildare,Ireland,"Capella Court, Newbridge, Kildare, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
Sweep Lane,Nurney,Kildare,Ireland,"Sweep Lane, Nurney, Kildare, Ireland",Agricultural Land,,,PwC,www.pwc.com/ie
Bridge Street,Rathangan,Kildare,Ireland,"Bridge Street, Rathangan, Kildare, Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
The Waterways,Sallins,Kildare,Ireland,"The Waterways, Sallins, Kildare, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
Patrick Street,Ballyragget,Kilkenny,Ireland,"Patrick Street, Ballyragget, Kilkenny, Ireland",Residential,,Multiple,Ferris & Associates,N/A
"Love
Lane",Castlecomer,Kilkenny,Ireland,"Love
Lane, Castlecomer, Kilkenny, Ireland",Residential,,Multiple,Ferris & Associates,N/A
Bowden's Row,Castlecomer,Kilkenny,Ireland,"Bowden's Row, Castlecomer, Kilkenny, Ireland",Residential,,Multiple,Ferris & Associates,N/A
Gragara,Jenkinstown,Kilkenny,Ireland,"Gragara, Jenkinstown, Kilkenny, Ireland",Residential,,Single,Ferris & Associates,N/A
Dublin Road,Thomastown,Kilkenny,Ireland,"Dublin Road, Thomastown, Kilkenny, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie/
Main Street,Urlingford,Kilkenny,Ireland,"Main Street, Urlingford, Kilkenny, Ireland",Public House,,Single,Ferris & Associates,N/A
Evan's Lane,,Kilkenny,Ireland,"Evan's Lane, Kilkenny, Ireland",Development - Not Commenced,,,Ferris & Associates,N/A
The Derries,Ballybrittas,Laois,Ireland,"The Derries, Ballybrittas, Laois, Ireland",Development - Commenced,,,Mazars,www.mazars.ie
The Heritage,Killenard,Laois,Ireland,"The Heritage, Killenard, Laois, Ireland",Development - Not Commenced,,,McStay Luby,N/A
Rathmiles,Killenard,Laois,Ireland,"Rathmiles, Killenard, Laois, Ireland",Residential,,Single,McStay Luby,N/A
Mount Henry,Killenard,Laois,Ireland,"Mount Henry, Killenard, Laois, Ireland",Residential,,Single,McStay Luby,N/A
The Heritage,Killenard,Laois,Ireland,"The Heritage, Killenard, Laois, Ireland",Residential,,Multiple,McStay Luby,N/A
The Heritage,Killenard,Laois,Ireland,"The Heritage, Killenard, Laois, Ireland",Other,"Golf
Course/Clubhouse",Single,McStay Luby,N/A
Emo,Morette,Laois,Ireland,"Emo, Morette, Laois, Ireland",Industrial,,Single,Mazars,www.mazars.ie
"Radharc na Sleibhte,
Shannon Road",Mountrath,Laois,Ireland,"Radharc na Sleibhte,
Shannon Road, Mountrath, Laois, Ireland",Development - Commenced,,,KPMG,www.kpmg.ie
Togher,Portlaoise,Laois,Ireland,"Togher, Portlaoise, Laois, Ireland",Development - Not Commenced,,,McStay Luby,N/A
"Certain assets at
Main Street",Portlaoise,Laois,Ireland,"Certain assets at
Main Street, Portlaoise, Laois, Ireland",Development - Not Commenced,,,McStay Luby,N/A
"Certain assets at Kea
Lew Business Park",Portlaoise,Laois,Ireland,"Certain assets at Kea
Lew Business Park, Portlaoise, Laois, Ireland",Industrial,,Multiple,McStay Luby,N/A
"Certain assets at
Main Street",Portlaoise,Laois,Ireland,"Certain assets at
Main Street, Portlaoise, Laois, Ireland",Retail,,Multiple,McStay Luby,N/A
Main Street,Portlaoise,Laois,Ireland,"Main Street, Portlaoise, Laois, Ireland",Public House,,Single,McStay Luby,N/A
Dublin Road,Portlaoise,Laois,Ireland,"Dublin Road, Portlaoise, Laois, Ireland",Hotel,,Single,Grant Thornton,www.grantthornton.ie
Dublin Road,Portlaoise,Laois,Ireland,"Dublin Road, Portlaoise, Laois, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Dublin Road,Portlaoise,Laois,Ireland,"Dublin Road, Portlaoise, Laois, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
"Clonminam Business
Park",Portlaoise,Laois,Ireland,"Clonminam Business
Park, Portlaoise, Laois, Ireland",Office,,Multiple,Grant Thornton,www.grantthornton.ie
"Certain Assets at
Rinuccini, Dublin
Road",Portlaoise,Laois,Ireland,"Certain Assets at
Rinuccini, Dublin
Road, Portlaoise, Laois, Ireland",Development - Commenced,,,RSM Farrell Grant Sparks,www.fgspartnership.com
Killenard,,Laois,Ireland,"Killenard, Laois, Ireland",Development - Not Commenced,,,McStay Luby,N/A
Killenard,,Laois,Ireland,"Killenard, Laois, Ireland",Public House,,Single,McStay Luby,N/A
Black Abbey Road,Adare,Limerick,Ireland,"Black Abbey Road, Adare, Limerick, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Chapel Lane,Adare,Limerick,Ireland,"Chapel Lane, Adare, Limerick, Ireland",Residential,,Single,kavanaghfennell,www.kavanaghfennell.ie
Abbots Way,Adare,Limerick,Ireland,"Abbots Way, Adare, Limerick, Ireland",Residential,,Single,kavanaghfennell,www.kavanaghfennell.ie
Castlecourt,Broad Street,Limerick,Ireland,"Castlecourt, Broad Street, Limerick, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Mossgrove Avenue,Caherdavin,Limerick,Ireland,"Mossgrove Avenue, Caherdavin, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Castlerock,Castleconnell,Limerick,Ireland,"Castlerock, Castleconnell, Limerick, Ireland",Development - Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Plassey Road,Castletroy,Limerick,Ireland,"Plassey Road, Castletroy, Limerick, Ireland",Mixed Use,,Multiple,PwC,www.pwc.com/ie
Plassey Road,Castletroy,Limerick,Ireland,"Plassey Road, Castletroy, Limerick, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
Brookfield Hall,Castletroy,Limerick,Ireland,"Brookfield Hall, Castletroy, Limerick, Ireland",Residential,,Single,Ernst & Young,www.ey.com
Brookville Gardens,Clareview,Limerick,Ireland,"Brookville Gardens, Clareview, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
"Father Russell Road,",Dooradoyle,Limerick,Ireland,"Father Russell Road,, Dooradoyle, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Cedar Downs,Dooradoyle,Limerick,Ireland,"Cedar Downs, Dooradoyle, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Willow Court,Dooradoyle,Limerick,Ireland,"Willow Court, Dooradoyle, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
"Certain Units -
Coonagh Cross",Ennis Road,Limerick,Ireland,"Certain Units -
Coonagh Cross, Ennis Road, Limerick, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
The Hurdles,"Huntsfield, Dooradoyle",Limerick,Ireland,"The Hurdles, Huntsfield, Dooradoyle, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Quinn's Cross,Mungret,Limerick,Ireland,"Quinn's Cross, Mungret, Limerick, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Daar River Walk,Newcastlewest,Limerick,Ireland,"Daar River Walk, Newcastlewest, Limerick, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com/ie
Moyard,North Circular Road,Limerick,Ireland,"Moyard, North Circular Road, Limerick, Ireland",Agricultural Land,,,Ernst & Young,www.ey.com/ie
Rosnaree,Raheen,Limerick,Ireland,"Rosnaree, Raheen, Limerick, Ireland",Other Creche,,Single,Grant Thornton,www.grantthornton.ie
Vartry Avenue,Raheen,Limerick,Ireland,"Vartry Avenue, Raheen, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Loughmore Centre,Raheen Business Park,Limerick,Ireland,"Loughmore Centre, Raheen Business Park, Limerick, Ireland",Mixed Use,,Multiple,Deloitte & Touche,www.deloitte.ie
Maldron Hotel,Roxboro,Limerick,Ireland,"Maldron Hotel, Roxboro, Limerick, Ireland",Hotel,,Multiple,KPMG,www.kpmg.ie
Clarion Hotel,Steamboat Quay,Limerick,Ireland,"Clarion Hotel, Steamboat Quay, Limerick, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Violet Villas,Thomondgate,Limerick,Ireland,"Violet Villas, Thomondgate, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
New Road,Thomondgate,Limerick,Ireland,"New Road, Thomondgate, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
New Road,Thomondgate,Limerick,Ireland,"New Road, Thomondgate, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Violet Villas,Thomondgate,Limerick,Ireland,"Violet Villas, Thomondgate, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Raheen,,Limerick,Ireland,"Raheen, Limerick, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Riverpoint,,Limerick,Ireland,"Riverpoint, Limerick, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
Bedford Row,,Limerick,Ireland,"Bedford Row, Limerick, Ireland",Mixed Use,,Multiple,PwC,www.pwc.com/ie
Henry Street,,Limerick,Ireland,"Henry Street, Limerick, Ireland",Hotel,,Single,PwC,www.pwc.com/ie
Henry Street,,Limerick,Ireland,"Henry Street, Limerick, Ireland",Residential,,Single,PwC,www.pwc.com/ie
"Henry
Street/Bedford Row",,Limerick,Ireland,"Henry Street/Bedford Row, Limerick, Ireland",Retail,,Multiple,PwC,www.pwc.com/ie
North Circular Road,,Limerick,Ireland,"North Circular Road, Limerick, Ireland",Development - Commenced,,,Ernst & Young,www.ey.com/ie
Fedamore,,Limerick,Ireland,"Fedamore, Limerick, Ireland",Agricultural Land,,,Grant Thornton,www.grantthornton.ie
Upper William Street,,Limerick,Ireland,"Upper William Street, Limerick, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Greenpark,,Limerick,Ireland,"Greenpark, Limerick, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Barrington Street,,Limerick,Ireland,"Barrington Street, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
O'Curry Place,,Limerick,Ireland,"O'Curry Place, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Willow Close,,Limerick,Ireland,"Willow Close, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Johnsgate Village,,Limerick,Ireland,"Johnsgate Village, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Keane Street,,Limerick,Ireland,"Keane Street, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Keane Street,,Limerick,Ireland,"Keane Street, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Keane Street,,Limerick,Ireland,"Keane Street, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Groody Village,,Limerick,Ireland,"Groody Village, Limerick, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
O'Curry Street,,Limerick,Ireland,"O'Curry Street, Limerick, Ireland",Office,,Single,Grant Thornton,www.grantthornton.ie
Cecil Street,,Limerick,Ireland,"Cecil Street, Limerick, Ireland",Mixed Use,,Single,Grant Thornton,www.grantthornton.ie
Broad Street,,Limerick,Ireland,"Broad Street, Limerick, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Broad Street,,Limerick,Ireland,"Broad Street, Limerick, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
O'Curry Street,,Limerick,Ireland,"O'Curry Street, Limerick, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Adare,,Limerick,Ireland,"Adare, Limerick, Ireland",Development - Not Commenced,,,kavanaghfennell,www.kavanaghfennell.ie
Adare,,Limerick,Ireland,"Adare, Limerick, Ireland",Development - Commenced,,,kavanaghfennell,www.kavanaghfennell.ie
Fisherstown,Clondra,Longford,Ireland,"Fisherstown, Clondra, Longford, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Rathcronan,Granard,Longford,Ireland,"Rathcronan, Granard, Longford, Ireland",Mixed Use,,Multiple,Keenan Corporate Finance,www.keenancf.com
Rathcronan,Granard,Longford,Ireland,"Rathcronan, Granard, Longford, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Ballymacross,Granard,Longford,Ireland,"Ballymacross, Granard, Longford, Ireland",Agricultural Land,,,Keenan Corporate Finance,www.keenancf.com
Carragh,Granard,Longford,Ireland,"Carragh, Granard, Longford, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
"Longford Shopping
Centre",,Longford,Ireland,"Longford Shopping Centre, Longford, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
M1 Retail Park,Drogheda,Louth,Ireland,"M1 Retail Park, Drogheda, Louth, Ireland",Retail,,Multiple,Grant Thornton,www.grantthornton.ie
Mellview House,Drogheda,Louth,Ireland,"Mellview House, Drogheda, Louth, Ireland",Retail,,Multiple,Grant Thornton,www.grantthornton.ie
Cafe Pavilions,Drogheda,Louth,Ireland,"Cafe Pavilions, Drogheda, Louth, Ireland",Retail,,Multiple,Grant Thornton,www.grantthornton.ie
Mellview Lands,Drogheda,Louth,Ireland,"Mellview Lands, Drogheda, Louth, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Downey Byrne Lands,Drogheda,Louth,Ireland,"Downey Byrne Lands, Drogheda, Louth, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Mullagharlinn,Dundalk,Louth,Ireland,"Mullagharlinn, Dundalk, Louth, Ireland",Development - Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Dromiskin,Dundalk,Louth,Ireland,"Dromiskin, Dundalk, Louth, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Armagh Road,Dundalk,Louth,Ireland,"Armagh Road, Dundalk, Louth, Ireland",Agricultural Land,,,kavanaghfennell,www.kavanaghfennell.ie
Rampart Street,Dundalk,Louth,Ireland,"Rampart Street, Dundalk, Louth, Ireland",Agricultural Land,,,kavanaghfennell,www.kavanaghfennell.ie
Hill Street,Dundalk,Louth,Ireland,"Hill Street, Dundalk, Louth, Ireland",Agricultural Land,,,kavanaghfennell,www.kavanaghfennell.ie
Spencer Street,Casltebar,Mayo,Ireland,"Spencer Street, Casltebar, Mayo, Ireland",Public House,,Single,Mazars,www.mazars.ie
Spencer Street,Castlebar,Mayo,Ireland,"Spencer Street, Castlebar, Mayo, Ireland",Mixed Use,,Multiple,Mazars,www.mazars.ie
Rush Street,Castlebar,Mayo,Ireland,"Rush Street, Castlebar, Mayo, Ireland",Retail,,Single,Mazars,www.mazars.ie
"The Railway & The
Woodlands",Mulranny,Mayo,Ireland,"The Railway & The
Woodlands, Mulranny, Mayo, Ireland",Other,Holiday Homes,Multiple,Grant Thornton,www.grantthornton.ie
The Courtyard,Mulranny,Mayo,Ireland,"The Courtyard, Mulranny, Mayo, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Spencer Street,Castlebar,Mayo,Ireland,"Spencer Street, Castlebar, Mayo, Ireland",Hotel,,Multiple,Mazars,www.mazars.ie
Marriott Hotel,Ashbourne,Meath,Ireland,"Marriott Hotel, Ashbourne, Meath, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Knightswood,Drogheda,Meath,Ireland,"Knightswood, Drogheda, Meath, Ireland",Residential,,Multiple,Ferris & Associates,N/A
Knightswood,Drogheda,Meath,Ireland,"Knightswood, Drogheda, Meath, Ireland",Development - Commenced,,,Ferris & Associates,N/A
